Lemmatized_Text,Predicted_Emotion
I ve make it through a week I just feel beat down;sadness,Sad
I feel this strategy be worthwhile;joy,Happy
I feel so worthless and weak what do he have to say that s what I want to find out;sadness,Sad
I feel clever nov;joy,Happy
I m move in I ve be feel kind of gloomy;sadness,Sad
I allow myself to feel the really shitty feeling while I be run because a the endorphin be flow so it hurt less and b so I could pretend I be run away from them;sadness,Sad
I feel confused too;fear,Neutral
I feel like a crappy mummy if be stick in but there be day where I really can not face much else then venture out to the garden at pm;sadness,Sad
I feel like I like my hair much well before I be use a sulfate free brand and I believe I be use a reputable brand;love,Happy
I feel the self pressured expectation to keep up to date with our family event so in order to assuage the guilt here we go;fear,Neutral
I get it she feel betrayed and hurt;sadness,Sad
I can not shake off my feeling of be offend and hurt no matter how hard I try and the conversation keep consume my every thought;anger,Neutral
I feel like I need a artistic community or a friend or a class;joy,Happy
I feel so useless and stupid;sadness,Sad
I be happy with the progress but I be also begin to feel a little hopeless;sadness,Happy
I feel overwhelmed and I want to forget it all;surprise,Neutral
I bet you be feel really mad and hurt;anger,Neutral
I feel lucky on my birthday;joy,Happy
I blind feeling I mean like stupid i;love,Neutral
I be feel so stunned and sad about the earthquake in christchurch new zealand yesterday;surprise,Neutral
I do not feel she be be selfish and completely understand where she be come from;anger,Neutral
I dare not say I feel ecstatic now but hey;joy,Happy
I just feel totally devastated;sadness,Sad
I feel somewhat disheartened I guess have to submit something lacklustre in just to meet the deadline;sadness,Sad
I think he be go to say no but he just put on what I call his smacked puppy face and that always make I feel rotten;sadness,Sad
I know it seem very sudden to everyone but I be not sure how much I can communicate just how comfortable I feel with he how similarly we look at the world and how supportive and loving he have be towards me;love,Neutral
I m feel generous here a holiday classic for you iframe allowfullscreen frameborder height src http www;love,Happy
ill crawl into the kitchen feel miserable and cook a fresh healthy meal;sadness,Sad
I be feel a bit jaded combination of mixed up feeling not enough sleep and too many big screen presentation I think;sadness,Sad
I feel mellow content;joy,Happy
I do have a chinese mum a few chinese sister spend two very important year of my life in china so when someone who know all this have a conversation like the one below with I I feel pretty hopeless about the power of education;sadness,Happy
I feel ok much well and strong than I do a few week ago;joy,Happy
I get a feeling that they be try to create a nostalgic atmosphere but it do not work for me;love,Neutral
I win t argue with those who be disabled about how the mda telethon make they feel I wouldn t take away from they the want to be respected;joy,Happy
I be feel a bit nostalgic today;love,Neutral
I feel like I have fake everything;sadness,Sad
I see the area where I should be do well and I feel discouraged and condemn but I feel tempt to turn to numb pleasure more than to despair;sadness,Sad
